country_code,country_name,uner_total,uner_total_year,uner_female,uner_female_year,uner_male,uner_male_year
NLD,Netherlands,0.51911997795105,2023,0.361099988222122,2023.0,0.66923999786377,2023.0
NOR,Norway,1.37849998474121,2024,1.37820994853973,2024.0,1.37878000736237,2024.0
NPL,Nepal,0.762479077438538,2025,1.45426915597102,2025.0,0.117155184970683,2025.0
NRU,Nauru,6.5964518220428,2025,4.6136116450837,2025.0,8.43116100372696,2025.0
NZL,New Zealand,2.62452006340027,2024,2.51688003540039,2024.0,2.72628998756409,2024.0
OMN,Oman,5.7558798789978,2024,5.55103015899658,2024.0,5.95251989364624,2024.0
PAK,Pakistan,17.9321832663555,2024,18.9165246278088,2024.0,16.9897234513843,2024.0
PAN,Panama,7.69758987426758,2024,7.24848985671997,2024.0,8.12397003173828,2024.0
PER,Peru,0.156479999423027,2019,2.20660996437073,2003.0,1.64736998081207,2003.0
PHL,Philippines,11.6352284796706,2024,12.7549081697277,2024.0,10.5498594043019,2024.0
PLW,Palau,1.33400252085981,2024,8.65533230293663,2023.0,7.79569892473118,2023.0
PNG,Papua New Guinea,4.00264879525902,2021,3.97050315055795,2020.0,2.42081426718327,2020.0
POL,Poland,0.091669999063015,2024,1.44682002067566,2020.0,1.49313998222351,2020.0
PRI,Puerto Rico,13.2522644734681,2024,12.1971062381095,2024.0,14.2500384656354,2024.0
PRK,"Korea, Dem. People's Rep.",0.505410015583038,2009,0.388099998235703,2009.0,0.617020010948181,2009.0
PRT,Portugal,0.508170008659363,2023,1.26962995529175,2019.0,0.726300001144409,2019.0
PRY,Paraguay,13.3311253107393,2024,13.4076269002834,2024.0,13.2579918911063,2024.0
PSE,West Bank and Gaza,9.55693065349131,2023,9.89585222039295,2023.0,9.23140153322629,2023.0
PYF,French Polynesia,4.05515003204346,1996,4.51955986022949,1996.0,3.60802006721497,1996.0
QAT,Qatar,4.61719989776611,2024,3.63545989990234,2024.0,5.54630994796753,2024.0
ROU,Romania,15.589879989624,2023,15.7352504730225,2023.0,15.4523801803589,2023.0
RUS,Russian Federation,4.93521976470947,2023,4.2432599067688,2023.0,5.58862018585205,2023.0
RWA,Rwanda,0.97025520511033,2024,1.8517364129989,2019.0,1.26062802918838,2019.0
SAU,Saudi Arabia,0.526757106679931,2024,0.285032443742544,2024.0,0.759409573120039,2024.0
SDN,Sudan,43.8378410339355,2019,41.927848815918,2019.0,45.7029418945312,2019.0
SEN,Senegal,24.5260525439769,2024,15.3546117099554,2024.0,32.8934351971732,2024.0
SGP,Singapore,0.211558480808623,2023,0.247452190857202,2023.0,0.177505112474438,2023.0
SLB,Solomon Islands,30.1391142134865,2024,30.8028399871643,2024.0,29.5150325811706,2024.0
SLE,Sierra Leone,0.888260006904602,2015,2.50043594623077,2012.0,3.77284958016256,2012.0
SLV,El Salvador,8.66362597172731,2024,14.0231599807739,2024.0,16.4332103729248,2024.0
SMR,San Marino,6.13207547169811,2024,4.89510489510489,2024.0,7.28218465539662,2024.0
SOM,"Somalia, Federal Republic of",85.2727584838867,1980,88.771598815918,1980.0,81.8362426757812,1980.0
SRB,Serbia,3.33343005180359,2024,5.90438985824585,2024.0,0.778620004653931,2024.0
SSD,South Sudan,64.7346801757812,2024,61.5811614990234,2024.0,67.8210906982422,2024.0
STP,São Tomé and Príncipe,2.87733006477356,2017,3.72747993469238,2017.0,2.02894997596741,2017.0
SUR,Suriname,16.2221505973869,2024,16.7901234230118,2024.0,15.6732163455424,2024.0
SVK,Slovak Republic,1.06402003765106,2024,0.972819983959198,2024.0,1.15077996253967,2024.0
SVN,Slovenia,1.44739997386932,2023,1.33490002155304,2023.0,1.55367994308472,2023.0
SWE,Sweden,0.570439994335175,2024,0.56904000043869,2024.0,0.571770012378693,2024.0
SWZ,Eswatini,3.8254239516235,2022,4.64440302044169,2022.0,3.00875848018315,2022.0
SXM,Sint Maarten (Dutch part),6.78133010864258,2023,,,,
SYC,Seychelles,6.80491018295288,2024,6.47294998168945,2024.0,7.11851978302002,2024.0
SYR,Syrian Arab Republic,21.8050308227539,2024,21.4494590759277,2024.0,22.1440296173096,2024.0
TCA,Turks and Caicos Islands,0.133396408670034,2024,13.9972144846797,2015.0,3.32577475434618,2015.0
TCD,Chad,24.8041149068773,2024,30.563148940473,2024.0,19.1937951999047,2024.0
TGO,Togo,0.638596108257035,2024,4.49714351999536,2021.0,2.58789291693396,2021.0
THA,Thailand,0.817190014634514,2025,1.25568982277932,2025.0,0.397979434479201,2025.0
TJK,Tajikistan,4.15082979202271,2017,6.60683012008667,2017.0,1.73830997943878,2017.0
TKM,Turkmenistan,4.30782245373809,2024,4.35575678370795,2024.0,4.26185300022571,2024.0
TLS,Timor-Leste,6.87728977203369,2023,4.67468976974487,2023.0,9.00957012176514,2023.0
TON,Tonga,2.28040974723023,2022,12.1253795623779,1999.0,5.36639976501465,1999.0
TTO,Trinidad and Tobago,7.16445243681472,2024,6.20938324833457,2024.0,8.08629257196073,2024.0
TUN,Tunisia,1.09419000148773,2023,0.464260011911392,2023.0,1.68658995628357,2023.0
TUR,Türkiye,0.602609992027283,2023,0.495359987020493,2017.0,0.905730009078979,2017.0
TUV,Tuvalu,0.536631120029539,2024,8.9644513137558,2019.0,8.20584144645341,2019.0
TZA,Tanzania,16.3666331530062,2024,13.4939257993026,2024.0,19.1916373315017,2024.0
UGA,Uganda,4.11656999588013,2013,3.420490026474,2013.0,4.81476020812988,2013.0
UKR,Ukraine,12.933690071106,2024,12.5538702011108,2024.0,13.2906303405762,2024.0
UMC,Upper middle income,4.0,2025,3.70000004768372,2025.0,4.40000009536743,2025.0
URY,Uruguay,0.0354518135477778,2023,0.622896929252171,2015.0,0.552918329916927,2015.0
USA,United States,3.98220992088318,2022,3.78526997566223,2022.0,4.1700701713562,2022.0
UZB,Uzbekistan,0.655471451573637,2025,4.68400629068273,2023.0,4.92350760534342,2023.0
VCT,St. Vincent and the Grenadines,0.590386993531064,2017,0.809830009937286,2007.0,2.90305995941162,2007.0
VEN,"Venezuela, RB",0.553709983825684,2023,11.403730392456,2017.0,11.7164497375488,2017.0
VGB,British Virgin Islands,26.9662895202637,2024,40.7788390889052,2024.0,24.034330368042,2024.0
VNM,Vietnam,1.73176990456513,2024,2.50940828918856,2021.0,0.142469940733598,2021.0
VUT,Vanuatu,2.53090856763272,2024,2.04672390940457,2024.0,2.98763489017843,2024.0
WSM,Samoa,1.80919443651844,2024,3.02453957509754,2024.0,0.658336710549844,2024.0
YEM,"Yemen, Rep.",30.6211204528809,2016,34.8987617492676,2016.0,26.540340423584,2016.0
ZAF,South Africa,6.0640471391014,2023,5.9464631201367,2023.0,6.18081083785212,2023.0
ZMB,Zambia,3.51462006568909,2024,13.7873725270594,2017.0,15.8753484453559,2017.0
ZWE,Zimbabwe,10.524498911807,2024,9.62265905792808,2024.0,11.4161261757174,2024.0
